Year,Grid,Date,Larvae/m2,Nymphs/m2,Adults/m2
2000,Henry Experimental,9/5/2000,1.057777778,0.024444444,0
2000,Henry Experimental,10/3/2000,0.755555556,0.011111111,0
2001,Henry Experimental,4/10/2001,0,0,0.02
2001,Henry Experimental,5/1/2001,0,0,0.004444444
2001,Henry Experimental,6/7/2001,0.311111111,0.064444444,0.008888889
2001,Henry Experimental,7/9/2001,0.102222222,0.075555556,0
2001,Henry Experimental,8/16/2001,0.775555556,0.026666667,0
2001,Henry Experimental,9/13/2001,0.653333333,0,0
2001,Henry Experimental,10/10/2001,0.075555556,0.024444444,0.006666667
2001,Henry Experimental,11/6/2001,0,0,0.015555556
2002,Henry Experimental,5/20/2002,0.037777778,0.028888889,0.004444444
2002,Henry Experimental,6/10/2002,0.035555556,0.046666667,0
2002,Henry Experimental,7/23/2002,0.033333333,0.122222222,0
2002,Henry Experimental,8/12/2002,0.084444444,0.031111111,0
2002,Henry Experimental,9/6/2002,0.355555556,0.013333333,0
2002,Henry Experimental,10/9/2002,0.14,0.008888889,0.008888889
2002,Henry Experimental,10/29/2002,0,0,0.004444444
2003,Henry Experimental,6/26/2003,0.226666667,0.2,0
2003,Henry Experimental,8/26/2003,1.982222222,0.031111111,0
2003,Henry Experimental,11/3/2003,0.013333333,0,0.011111111
2004,Henry Experimental,6/29/2004,0.024444444,0.04,0
2004,Henry Experimental,8/26/2004,0.808888889,0.015555556,0
2004,Henry Experimental,9/1/2004,0.413333333,0.022222222,0
2004,Henry Experimental,10/26/2004,0,0.006666667,0.013333333
2005,Henry Experimental,5/17/2005,0,0.053333333,0.017777778
2005,Henry Experimental,6/2/2005,0.182222222,0.173333333,0.006666667
2005,Henry Experimental,8/24/2005,0.895555556,0.042222222,0
1995,Tea Experimental,5/1/1995,0.002222222,0,0.026666667
1995,Tea Experimental,5/30/1995,0.037777778,0.015555556,0.004444444
1995,Tea Experimental,6/26/1995,0,0.02,0
1995,Tea Experimental,7/31/1995,4.806666667,0.075555556,0
1995,Tea Experimental,8/23/1995,2.208888889,0.04,0
1995,Tea Experimental,9/19/1995,1.1,0.024444444,0
1995,Tea Experimental,10/19/1995,0.008888889,0.017777778,0.097777778
1995,Tea Experimental,12/31/1995,0,0,0
1996,Tea Experimental,5/7/1996,0,0.017777778,0.046666667
1996,Tea Experimental,5/28/1996,0.317777778,0.313333333,0.008888889
1996,Tea Experimental,6/14/1996,,0.397777778,
1996,Tea Experimental,6/27/1996,0.2,0.34,0.006666667
1996,Tea Experimental,7/30/1996,5.448888889,0.262222222,0
1996,Tea Experimental,8/30/1996,12.96,0.086666667,0
1996,Tea Experimental,9/20/1996,2.755555556,0.02,0
1996,Tea Experimental,10/18/1996,0.442222222,0,0.111111111
1996,Tea Experimental,11/11/1996,0,0.002222222,0.068888889
1996,Tea Experimental,12/31/1996,0,0,0
1997,Tea Experimental,4/25/1997,0,0,0.075555556
1997,Tea Experimental,5/21/1997,0.033333333,0.004444444,0.046666667
1997,Tea Experimental,6/12/1997,0.117777778,0.035555556,0.006666667
1997,Tea Experimental,7/2/1997,0.204444444,0.046666667,0.002222222
1997,Tea Experimental,7/23/1997,0.113333333,0.04,0
1997,Tea Experimental,8/27/1997,0.095555556,0.004444444,0
1997,Tea Experimental,9/25/1997,0.133333333,0.004444444,0.004444444
1997,Tea Experimental,10/20/1997,0,0,0.044444444
1997,Tea Experimental,12/31/1997,0,0,0
1998,Tea Experimental,5/5/1998,0.0025,0.035,0.05
1998,Tea Experimental,6/4/1998,0.055,0.0775,0.005
1998,Tea Experimental,7/6/1998,0.0575,0.1125,0
1998,Tea Experimental,8/5/1998,1.07,0.0525,0
1998,Tea Experimental,8/27/1998,1.4225,0.0225,0
1998,Tea Experimental,10/3/1998,0.0675,0.0075,0.015
1998,Tea Experimental,10/27/1998,0.005,0.0025,0.06
1998,Tea Experimental,12/31/1998,0,0,0
1999,Tea Experimental,4/19/1999,0,0,0.117777778
1999,Tea Experimental,5/26/1999,0.048888889,0.1,0.017777778
1999,Tea Experimental,6/15/1999,0.004444444,0.08,0.008888889
1999,Tea Experimental,7/13/1999,0.006666667,0.026666667,0
1999,Tea Experimental,8/4/1999,0.3,0.004444444,0
1999,Tea Experimental,9/1/1999,0.604444444,0.004444444,0
1999,Tea Experimental,10/8/1999,0.073333333,0.008888889,0.037777778
1999,Tea Experimental,10/26/1999,0.002222222,0.002222222,0.053333333
2000,Tea Experimental,5/1/2000,0,0,0.053333333
2000,Tea Experimental,6/2/2000,0.071111111,0.148888889,0.002222222
2000,Tea Experimental,6/20/2000,0.108888889,0.151111111,0.008888889
2000,Tea Experimental,7/13/2000,0.004444444,0.124444444,0.002222222
2000,Tea Experimental,8/17/2000,2.002222222,0.057777778,0
2000,Tea Experimental,9/7/2000,1.046666667,0.048888889,0
2000,Tea Experimental,10/11/2000,0.177777778,0.011111111,0.008888889
2001,Tea Experimental,4/10/2001,0,0,0.066666667
2001,Tea Experimental,5/1/2001,0,0,0.011111111
2001,Tea Experimental,6/13/2001,0.082222222,0.035555556,0.024444444
2001,Tea Experimental,7/12/2001,0.102222222,0.084444444,0
2001,Tea Experimental,8/15/2001,1.788888889,0.053333333,0
2001,Tea Experimental,9/5/2001,0.228888889,0.006666667,0
2001,Tea Experimental,10/16/2001,0.051111111,0.004444444,0.006666667
2001,Tea Experimental,11/7/2001,0,0,0.015555556
2002,Tea Experimental,5/22/2002,0.02,0.08,0.004444444
2002,Tea Experimental,6/12/02 &6/17/02,0.108888889,0.066666667,0
2002,Tea Experimental,7/17/2002,0.04,0.04,0
2002,Tea Experimental,8/13/2002,0.611111111,0.008888889,0
2002,Tea Experimental,9/9/2002,0.406666667,0.008888889,0
2002,Tea Experimental,10/10/2002,0.042222222,0.011111111,0.013333333
2002,Tea Experimental,10/28/2002,0,0.002222222,0.015555556
2003,Tea Experimental,7/2/2003,0.115555556,0.2,0.006666667
2003,Tea Experimental,8/25/2003,3.111111111,0.044444444,0
2003,Tea Experimental,11/4/2003,0.042222222,0,0.048888889
2004,Tea Experimental,6/30/2004,0.068888889,0.044444444,0.004444444
2004,Tea Experimental,8/25/2004,0.7,0.015555556,0
2004,Tea Experimental,9/2/2004,0.604444444,0.017777778,0
2004,Tea Experimental,10/26/2004,0.024444444,0.002222222,0.04
2005,Tea Experimental,6/1/2005,0.186666667,0.266666667,0.017777778
2005,Tea Experimental,8/22/2005,1.422222222,0.08,0
1995,Green Experimental,5/2/1995,0,0.002222222,0.017777778
1995,Green Experimental,5/31/1995,0.022222222,0.024444444,0
1995,Green Experimental,6/5/1995,0.002222222,0.015555556,0
1995,Green Experimental,8/4/1995,4.233333333,0.008888889,0
1995,Green Experimental,8/22/1995,0.686666667,0,0
1995,Green Experimental,9/20/1995,0.513333333,0.006666667,0
1995,Green Experimental,10/19/1995,0.006666667,0.004444444,0.028888889
1995,Green Experimental,12/31/1995,0,0,0
1996,Green Experimental,5/2/1996,0,0,0.002222222
1996,Green Experimental,5/30/1996,0.028888889,0.042222222,0.008888889
1996,Green Experimental,6/13/1996,,0.04,
1996,Green Experimental,6/25/1996,0.093333333,0.064444444,0
1996,Green Experimental,7/22/1996,0.586666667,0.031111111,0
1996,Green Experimental,8/26/1996,3.037777778,0.006666667,0
1996,Green Experimental,9/30/1996,1.457777778,0.002222222,0.004444444
1996,Green Experimental,10/17/1996,0.431111111,0.002222222,0.008888889
1996,Green Experimental,11/12/1996,0.002222222,0,0.013333333
1996,Green Experimental,12/31/1996,0,0,0
1997,Green Experimental,4/24/1997,0,0,0
1997,Green Experimental,5/23/1997,0.002222222,0.013333333,0.004444444
1997,Green Experimental,6/13/1997,0.248888889,0.04,0
1997,Green Experimental,7/2/1997,0.028888889,0.037777778,0
1997,Green Experimental,7/23/1997,0.153333333,0.013333333,0
1997,Green Experimental,9/2/1997,1.08,0.006666667,0
1997,Green Experimental,9/24/1997,0.508888889,0.002222222,0.002222222
1997,Green Experimental,10/22/1997,0,0,0.015555556
1997,Green Experimental,12/31/1997,0,0,0
1998,Green Experimental,4/30/1998,0,0.0025,0
1998,Green Experimental,6/4/1998,0.1425,0.0325,0
1998,Green Experimental,7/3/1998,0.025,0.04,0
1998,Green Experimental,8/7/1998,0.755,0.005,0
1998,Green Experimental,9/3/1998,0.7475,0.01,0
1998,Green Experimental,10/2/1998,0.08,0.0075,0
1998,Green Experimental,10/28/1998,0.0075,0.0075,0.01
1998,Green Experimental,12/31/1998,0,0,0
1999,Green Experimental,5/17/1999,0.002222222,0.022222222,0.002222222
1999,Green Experimental,5/26/1999,0.073333333,0.106666667,0
1999,Green Experimental,6/16/1999,0.013333333,0.115555556,0
1999,Green Experimental,7/13/1999,0.015555556,0.04,0
1999,Green Experimental,8/3/1999,0.18,0.006666667,0
1999,Green Experimental,9/2/1999,0.922222222,0.002222222,0
1999,Green Experimental,10/6/1999,0.064444444,0.002222222,0.011111111
1999,Green Experimental,10/25/1999,0,0,0.031111111
2000,Green Experimental,4/24/2000,0,0,0.022222222
2000,Green Experimental,6/1/2000,0.062222222,0.168888889,0
2000,Green Experimental,6/21/2000,0.124444444,0.153333333,0.004444444
2000,Green Experimental,7/12/2000,0.002222222,0.042222222,0
2000,Green Experimental,8/16/2000,1.402222222,0.033333333,0
2000,Green Experimental,9/7/2000,1.082222222,0.02,0
2000,Green Experimental,10/4/2000,0.291111111,0.006666667,0
2001,Green Experimental,4/10/2001,0,0,0.011111111
2001,Green Experimental,5/2/2001,0,0,0
2001,Green Experimental,6/12/2001,0.217777778,0.135555556,0.004444444
2001,Green Experimental,7/10/2001,0.015555556,0.053333333,0
2001,Green Experimental,8/21/2001,1.464444444,0.004444444,0
2001,Green Experimental,9/6/2001,0.068888889,0.002222222,0
2001,Green Experimental,10/15/2001,0.024444444,0.004444444,0.002222222
2001,Green Experimental,11/1/2001,0,0,0.004444444
2002,Green Experimental,5/16/2002,0.006666667,0.011111111,9.88E-06
2002,Green Experimental,6/10/2002,0.008888889,0.028888889,0
2002,Green Experimental,7/15/2002,0.002222222,0.017777778,0
2002,Green Experimental,8/14/2002,0.091111111,0,0
2002,Green Experimental,9/11/2002,0.431111111,0,0
2002,Green Experimental,10/1/2002,0.246666667,0,0
2002,Green Experimental,10/30/2002,0,0,0.006666667
2003,Green Experimental,7/1/2003,0.024444444,0.073333333,0
2003,Green Experimental,8/25/2003,0.206666667,0.008888889,0
2003,Green Experimental,10/30/2003,0.008888889,0,0
2004,Green Experimental,6/24/2004,0,0.008888889,0
2004,Green Experimental,8/25/2004,1.968888889,0,0
2004,Green Experimental,9/2/2004,0.531111111,0,0
2004,Green Experimental,10/25/2004,0.013333333,0,0.008888889
2005,Green Experimental,5/23/2005,0.002222222,0.035555556,0.004444444
2005,Green Experimental,6/6/2005,0.035555556,0.131111111,0.002222222
2005,Green Experimental,8/18/2005,0.233333333,0.028888889,0
1995,Henry Control,5/3/1995,0,0.004444444,0.013333333
1995,Henry Control,6/1/1995,0.011111111,0.013333333,0.002222222
1995,Henry Control,6/26/1995,0,0.004444444,0
1995,Henry Control,7/31/1995,1.871111111,0.002222222,0
1995,Henry Control,8/22/1995,1.002222222,0.006666667,0
1995,Henry Control,9/18/1995,0.126666667,0.002222222,0
1995,Henry Control,10/19/1995,0.002222222,0,0.02
1995,Henry Control,12/31/1995,0,0,0
1996,Henry Control,5/2/1996,0,0,0.004444444
1996,Henry Control,5/28/1996,0.097777778,0.073333333,0.008888889
1996,Henry Control,6/14/1996,,0.093333333,
1996,Henry Control,6/26/1996,0.044444444,0.122222222,0.004444444
1996,Henry Control,7/29/1996,0.517777778,0.093333333,0
1996,Henry Control,8/27/1996,0.844444444,0.02,0
1996,Henry Control,9/24/1996,0.28,0.002222222,0.004444444
1996,Henry Control,10/16/1996,0.102222222,0,0.026666667
1996,Henry Control,11/15/1996,0,0,0
1996,Henry Control,12/31/1996,0,0,0
1997,Henry Control,4/25/1997,0,0,0.022222222
1997,Henry Control,5/22/1997,0,0.006666667,0
1997,Henry Control,6/11/1997,0,0.008888889,0
1997,Henry Control,7/10/1997,0.02,0.017777778,0
1997,Henry Control,7/22/1997,0.144444444,0.031111111,0
1997,Henry Control,9/2/1997,2.073333333,0.002222222,0
1997,Henry Control,9/24/1997,0.553333333,0.002222222,0
1997,Henry Control,10/22/1997,0,0,0.028888889
1997,Henry Control,12/31/1997,0,0,0
1998,Henry Control,5/3/1998,0.0225,0.0125,0.01
1998,Henry Control,6/4/1998,0.3225,0.1275,0.0025
1998,Henry Control,7/2/1998,0.5625,0.0825,0
1998,Henry Control,8/13/1998,1.7275,0.0525,0
1998,Henry Control,8/28/1998,1.67,0.0175,0
1998,Henry Control,10/2/1998,0.1425,0.0075,0
1998,Henry Control,10/27/1998,0.0125,0.0025,0.03
1998,Henry Control,12/31/1998,0,0,0
1999,Henry Control,4/19/1999,0,0,0.006666667
1999,Henry Control,5/25/1999,0.062222222,0.062222222,0
1999,Henry Control,6/21/1999,0.035555556,0.084444444,0
1999,Henry Control,7/13/1999,0.055555556,0.055555556,0
1999,Henry Control,8/3/1999,1.686666667,0.004444444,0
1999,Henry Control,9/2/1999,0.995555556,0.013333333,0
1999,Henry Control,10/7/1999,0.122222222,0.002222222,0.015555556
1999,Henry Control,10/25/1999,0.044444444,0.002222222,0.011111111
2000,Henry Control,4/25/2000,0,0,0.028888889
2000,Henry Control,6/1/2000,0.848888889,0.133333333,0.004444444
2000,Henry Control,6/23/2000,0.191111111,0.175555556,0
2000,Henry Control,7/12/2000,0.073333333,0.135555556,0
2000,Henry Control,8/10/2000,3.64,0.075555556,0
2000,Henry Control,9/5/2000,1.231111111,0.015555556,0
2000,Henry Control,10/3/2000,1.417777778,0.035555556,0.002222222
2001,Henry Control,4/10/2001,0,0,0.028888889
2001,Henry Control,5/1/2001,0,0,0.004444444
2001,Henry Control,6/6/2001,0.111111111,0.06,0.004444444
2001,Henry Control,7/10/2001,0.077777778,0.1,0
2001,Henry Control,8/16/2001,1.364444444,0.022222222,0
2001,Henry Control,9/13/2001,0.228888889,0.015555556,0
2001,Henry Control,10/10/2001,0.026666667,0.004444444,0
2001,Henry Control,10/31/2001,0,0,0.015555556
2002,Henry Control,5/20/2002,0.004444444,0.004444444,0.002222222
2002,Henry Control,6/10/2002,0.102222222,0.028888889,0.002222222
2002,Henry Control,7/15/2002,0.028888889,0.057777778,0
2002,Henry Control,8/13/2002,0.868888889,0.006666667,0
2002,Henry Control,9/6/2002,0.764444444,0.002222222,0
2002,Henry Control,10/9/2002,0.111111111,0,0
2002,Henry Control,10/29/2002,0.008888889,0,0.006666667
2003,Henry Control,6/23/03 & 6/24/03,0.224444444,0.075555556,0.002222222
2003,Henry Control,8/26/2003,12.70666667,0.015555556,0
2003,Henry Control,11/3/2003,0.077777778,0,0.015555556
2004,Henry Control,6/29/2004,0.071111111,0.064444444,0
2004,Henry Control,8/26/2004,1.035555556,0.015555556,0
2004,Henry Control,9/1/2004,0.917777778,0.015555556,0
2004,Henry Control,10/26/2004,0.004444444,0,0.022222222
2005,Henry Control,5/17/2005,0,0.026666667,0.004444444
2005,Henry Control,6/3/2005,0.082222222,0.142222222,0.002222222
2005,Henry Control,8/24/2005,0.38,0.028888889,0
1995,Tea Control,5/3/1995,0.002222222,0.004444444,0.017777778
1995,Tea Control,6/1/1995,0.044444444,0.024444444,0.004444444
1995,Tea Control,6/26/1995,0.013333333,0.026666667,0
1995,Tea Control,7/31/1995,2.384444444,0.064444444,0
1995,Tea Control,8/22/1995,0.58,0.008888889,0
1995,Tea Control,9/18/1995,0.415555556,0.026666667,0
1995,Tea Control,10/19/1995,0.031111111,0.013333333,0.024444444
1995,Tea Control,12/31/1995,0,0,0
1996,Tea Control,5/7/1996,0,0.015555556,0.053333333
1996,Tea Control,5/28/1996,0.084444444,0.348888889,0.024444444
1996,Tea Control,6/14/1996,,0.362222222,
1996,Tea Control,6/27/1996,0.055555556,0.36,0
1996,Tea Control,7/30/1996,0.168888889,0.126666667,0
1996,Tea Control,8/30/1996,1.486666667,0.073333333,0
1996,Tea Control,9/24/1996,0.426666667,0.024444444,0
1996,Tea Control,10/18/1996,0.093333333,0.002222222,0.071111111
1996,Tea Control,11/11/1996,0.002222222,0,0.088888889
1996,Tea Control,12/31/1996,0,0,0
1997,Tea Control,4/25/1997,0,0,0.1
1997,Tea Control,5/22/1997,0.015555556,0.042222222,0.028888889
1997,Tea Control,6/12/1997,0.08,0.037777778,0.004444444
1997,Tea Control,7/2/1997,0.037777778,0.04,0
1997,Tea Control,7/23/1997,0.035555556,0.048888889,0
1997,Tea Control,8/27/1997,1,0.008888889,0
1997,Tea Control,9/25/1997,0.286666667,0,0.002222222
1997,Tea Control,10/22/1997,0,0,0.048888889
1997,Tea Control,12/31/1997,0,0,0
1998,Tea Control,5/5/1998,0.065,0.025,0.04
1998,Tea Control,6/4/1998,0.24,0.1125,0.0075
1998,Tea Control,7/6/1998,0.06,0.115,0.005
1998,Tea Control,8/11/1998,1.9775,0.0325,0
1998,Tea Control,8/24/1998,1.0075,0.0275,0
1998,Tea Control,10/3/1998,0.0275,0.01,0.005
1998,Tea Control,10/27/1998,0.0025,0,0.06
1998,Tea Control,12/31/1998,0,0,0
1999,Tea Control,5/17/1999,0.004444444,0.031111111,0.004444444
1999,Tea Control,5/26/1999,0.024444444,0.117777778,0.026666667
1999,Tea Control,6/16/1999,0.051111111,0.077777778,0.011111111
1999,Tea Control,7/13/1999,0.397777778,0.035555556,0
1999,Tea Control,8/4/1999,0.064444444,0.002222222,0
1999,Tea Control,9/1/1999,1.393333333,0.008888889,0
1999,Tea Control,10/7/1999,0.171111111,0.002222222,0.08
1999,Tea Control,10/26/1999,0.002222222,0,0.082222222
2000,Tea Control,5/1/2000,0,0,0.057777778
2000,Tea Control,6/2/2000,0.064444444,0.24,0.013333333
2000,Tea Control,6/20/2000,0.197777778,0.275555556,0.006666667
2000,Tea Control,7/13/2000,0,0.16,0
2000,Tea Control,8/17/2000,5.151111111,0.082222222,0
2000,Tea Control,9/7/2000,2.026666667,0.028888889,0
2000,Tea Control,10/11/2000,0.351111111,0.002222222,0.008888889
2001,Tea Control,4/10/2001,0,0,0.075555556
2001,Tea Control,5/1/2001,0,0,0.02
2001,Tea Control,6/7/2001,0.126666667,0.082222222,0.022222222
2001,Tea Control,7/12/2001,0.031111111,0.084444444,0.006666667
2001,Tea Control,8/15/2001,1.451111111,0.024444444,0
2001,Tea Control,9/5/2001,1.013333333,0.002222222,0
2001,Tea Control,10/16/2001,0.231111111,0.006666667,0
2001,Tea Control,11/7/2001,0,0,0.008888889
2002,Tea Control,5/21/2002,0.115555556,0.048888889,0.004444444
2002,Tea Control,6/11/2002,0.191111111,0.075555556,0
2002,Tea Control,7/17/2002,0.006666667,0.033333333,0
2002,Tea Control,8/13/2002,0.417777778,0.006666667,0
2002,Tea Control,9/9/2002,0.191111111,0.004444444,0
2002,Tea Control,10/10/2002,0.044444444,0.004444444,0.008888889
2002,Tea Control,10/28/2002,0.013333333,0,0.024444444
2003,Tea Control,7/1/2003,0.06,0.148888889,0.004444444
2003,Tea Control,8/25/2003,1.613333333,0.015555556,0
2003,Tea Control,11/3/2003,0.031111111,0.002222222,0.06
2004,Tea Control,6/30/2004,0.064444444,0.084444444,0.006666667
2004,Tea Control,8/19/2004,0.791111111,0.033333333,0
2004,Tea Control,9/2/2004,0.62,0.015555556,0
2004,Tea Control,10/26/2004,0.006666667,0.002222222,0.046666667
2005,Tea Control,6/1/2005,0.086666667,0.262222222,0.008888889
2005,Tea Control,8/23/2005,1.668888889,0.026666667,0
1995,Green Control,5/2/1995,0.004444444,0.002222222,0.02
1995,Green Control,5/31/1995,0.068888889,0.022222222,0.006666667
1995,Green Control,6/5/1995,0.008888889,0.015555556,0
1995,Green Control,8/7/1995,7.546666667,0.013333333,0
1995,Green Control,8/23/1995,0.586666667,0,0
1995,Green Control,9/20/1995,0.477777778,0.004444444,0
1995,Green Control,10/19/1995,0,0,0.046666667
1995,Green Control,12/31/1995,0,0,0
1996,Green Control,5/2/1996,0,0.002222222,0.013333333
1996,Green Control,5/30/1996,0.011111111,0.08,0.011111111
1996,Green Control,6/13/1996,,0.126666667,
1996,Green Control,6/25/1996,0.044444444,0.066666667,0.002222222
1996,Green Control,7/22/1996,0.086666667,0.035555556,0
1996,Green Control,8/26/1996,0.884444444,0.004444444,0
1996,Green Control,8/30/1996,0.233333333,0.008888889,0.017777778
1996,Green Control,10/17/1996,0.08,0.002222222,0.042222222
1996,Green Control,11/12/1996,0,0,0.053333333
1996,Green Control,12/31/1996,0,0,0
1997,Green Control,4/24/1997,0,0,0.013333333
1997,Green Control,5/23/1997,0.006666667,0.006666667,0.008888889
1997,Green Control,6/13/1997,0.02,0.002222222,0.006666667
1997,Green Control,7/9/1997,0,0.002222222,0
1997,Green Control,7/23/1997,0.002222222,0.015555556,0.002222222
1997,Green Control,9/2/1997,0.286666667,0.004444444,0
1997,Green Control,9/24/1997,0.211111111,0.006666667,0.002222222
1997,Green Control,10/24/1997,0,0,0.026666667
1997,Green Control,12/31/1997,0,0,0
1998,Green Control,4/30/1998,0,0,0.0025
1998,Green Control,6/3/1998,0.225,0.0475,0.0025
1998,Green Control,7/3/1998,0.0225,0.0375,0
1998,Green Control,8/6/1998,0.5375,0.0025,0
1998,Green Control,8/31/1998,0.7425,0.0025,0
1998,Green Control,10/3/1998,0.47,0.005,0.005
1998,Green Control,10/28/1998,0.055,0,0.0425
1998,Green Control,12/31/1998,0,0,0
1999,Green Control,5/17/1999,0,0.015555556,0
1999,Green Control,5/27/1999,0.071111111,0.042222222,0
1999,Green Control,6/16/1999,0.002222222,0.033333333,0
1999,Green Control,7/13/1999,0.008888889,0.026666667,0
1999,Green Control,8/4/1999,0.057777778,0.004444444,0
1999,Green Control,9/2/1999,1.426666667,0.002222222,0
1999,Green Control,10/6/1999,0.24,0.004444444,0.044444444
1999,Green Control,10/25/1999,0.011111111,0,0.062222222
2000,Green Control,4/25/2000,0,0,0.046666667
2000,Green Control,6/1/2000,0.04,0.171111111,0
2000,Green Control,6/21/2000,0.344444444,0.164444444,0.002222222
2000,Green Control,7/13/2000,0.104444444,0.075555556,0
2000,Green Control,8/16/2000,1.24,0.042222222,0
2000,Green Control,9/7/2000,1.557777778,0.022222222,0
2000,Green Control,10/4/2000,0.588888889,0.008888889,0.011111111
2001,Green Control,4/10/2001,0,0,0.017777778
2001,Green Control,5/2/2001,0,0,0.004444444
2001,Green Control,6/12/2001,0.157777778,0.051111111,0.006666667
2001,Green Control,7/10/2001,0.088888889,0.044444444,0.002222222
2001,Green Control,8/21/2001,1.244444444,0.015555556,0
2001,Green Control,9/6/2001,0.171111111,0.004444444,0
2001,Green Control,10/15/2001,0.057777778,0.002222222,0.011111111
2001,Green Control,11/1/2001,0.002222222,0.002222222,0.022222222
2002,Green Control,5/16/2002,0.006666667,0.011111111,0
2002,Green Control,6/10/2002,0.057777778,0.031111111,0
2002,Green Control,7/15/2002,0.002222222,0.031111111,0
2002,Green Control,8/15/2002,0.042222222,0.006666667,0
2002,Green Control,9/11/2002,0.086666667,0.002222222,0
2002,Green Control,10/1/2002,0.102222222,0.002222222,0
2002,Green Control,10/30/2002,0,0.002222222,0.011111111
2003,Green Control,6/30/2003,0.062222222,0.124444444,0.002222222
2003,Green Control,8/27/2003,1.04,0.008888889,0
2003,Green Control,10/30/2003,0.057777778,0.002222222,0.008888889
2004,Green Control,6/24/2004,0.004444444,0.004444444,0
2004,Green Control,8/23/2004,1.484444444,0.017777778,0
2004,Green Control,9/2/2004,0.773333333,0.011111111,0
2004,Green Control,10/25/04-10/26/04,0.024444444,0.004444444,0.017777778
2005,Green Control,5/31/2005,0.06,0.171111111,0.011111111
2005,Green Control,8/17/2005,0.164444444,0.024444444,0
